a_x,a_y,a_z,g_x,g_y,g_z,label,
-0.02,0.03,2.03,-0.06,0.04,0.02,reverse,
-0.01,0.03,2,-0.06,0.04,0.03,reverse,
0,0.04,2.04,-0.06,0.04,0.03,reverse,
-0.02,0.03,2.02,-0.06,0.04,0.02,reverse,
-0.01,0.04,2.03,-0.06,0.04,0.02,reverse,
-0.02,0.02,2.02,-0.06,0.04,0.02,reverse,
-0.01,0.01,2,-0.06,0.04,0.02,reverse,
0,0.02,2.02,-0.06,0.04,0.02,reverse,
0.01,0.02,2.03,-0.06,0.04,0.03,reverse,
-0.02,0.01,2.02,-0.06,0.04,0.02,reverse,
0.01,0.01,2.01,-0.06,0.04,0.02,reverse,
-0.02,0.01,2.05,-0.06,0.04,0.03,reverse,
-0.01,0.04,2.03,-0.06,0.04,0.02,reverse,
-0.02,0.01,2.01,-0.06,0.04,0.02,reverse,
0,0.02,2.04,-0.06,0.04,0.02,reverse,
0.01,0.04,2.04,-0.06,0.04,0.02,reverse,
-0.01,0.04,2.01,-0.06,0.04,0.03,reverse,
0.01,0.03,2.07,-0.06,0.04,0.02,reverse,
0.01,0.03,2.05,-0.06,0.04,0.03,reverse,
0.01,0.01,2.02,-0.06,0.04,0.02,reverse,
0,0.01,2.03,-0.06,0.04,0.02,reverse,
-0.01,0.01,2.02,-0.06,0.04,0.02,reverse,
-0.02,0.03,2.06,-0.06,0.04,0.02,reverse,
-0.03,0.02,2.05,-0.06,0.04,0.02,reverse,
0,0.05,2.08,-0.06,0.04,0.02,reverse,
-0.01,0.01,2.07,-0.06,0.04,0.02,reverse,
-0.01,0.04,2.06,-0.06,0.04,0.02,reverse,
-0.02,0.03,2.05,-0.06,0.04,0.03,reverse,
0,0.03,2.02,-0.06,0.04,0.02,reverse,
-0.03,0.01,2.05,-0.06,0.04,0.02,reverse,
-0.01,0.02,2.04,-0.06,0.04,0.03,reverse,
-0.03,0.03,2.05,-0.06,0.04,0.02,reverse,
-0.04,0.03,2.04,-0.06,0.04,0.02,reverse,
0,0.02,2.04,-0.06,0.04,0.02,reverse,
0,0.02,2.02,-0.06,0.04,0.03,reverse,
-0.01,0,2.07,-0.06,0.04,0.03,reverse,
-0.03,0.04,2.06,-0.06,0.04,0.03,reverse,
-0.02,0.02,2.04,-0.06,0.04,0.02,reverse,
0,0.04,2.06,-0.06,0.04,0.02,reverse,
-0.01,0.01,2.02,-0.06,0.04,0.03,reverse,
-0.02,0.03,2.01,-0.06,0.04,0.03,reverse,
-0.01,0.02,2.02,-0.06,0.04,0.02,reverse,
-0.01,0.01,2.04,-0.06,0.04,0.02,reverse,
-0.01,0.05,2.06,-0.06,0.04,0.03,reverse,
-0.01,0.01,2.03,-0.06,0.04,0.02,reverse,
-0.03,0.01,2.02,-0.06,0.04,0.03,reverse,
-0.02,0,2.07,-0.06,0.04,0.03,reverse,
0.01,0.01,2.02,-0.06,0.04,0.02,reverse,
0.01,0.05,2.06,-0.06,0.04,0.03,reverse,
0.01,0.03,2.05,-0.06,0.04,0.02,reverse,
-0.04,0.03,2.03,-0.06,0.04,0.02,reverse,
-0.02,0.05,2.05,-0.06,0.04,0.02,reverse,
-0.02,0.03,2.02,-0.06,0.04,0.02,reverse,
-0.02,0.01,2.03,-0.06,0.04,0.02,reverse,
-0.04,0.03,2.08,-0.06,0.04,0.03,reverse,
-0.02,0.03,1.98,-0.06,0.04,0.02,reverse,
-0.03,0,2.04,-0.06,0.04,0.02,reverse,
0.01,0.02,2.06,-0.06,0.04,0.03,reverse,
-0.02,0.04,1.99,-0.06,0.04,0.02,reverse,
-0.02,0.01,2.06,-0.06,0.04,0.02,reverse,
0.03,0,2.06,-0.06,0.04,0.02,reverse,
-0.02,0.05,2.06,-0.06,0.04,0.02,reverse,
0.01,0.02,2.05,-0.06,0.04,0.02,reverse,
-0.01,0.02,2.03,-0.06,0.04,0.02,reverse,
-0.01,0.04,2.06,-0.06,0.04,0.02,reverse,
-0.03,0.03,2.03,-0.06,0.04,0.02,reverse,
0.01,0.06,2.01,-0.06,0.04,0.02,reverse,
-0.03,0.03,2.02,-0.06,0.04,0.02,reverse,
0.01,0.02,2.05,-0.06,0.04,0.03,reverse,
0.02,0.03,2.06,-0.06,0.04,0.02,reverse,
0,0.02,2.03,-0.06,0.04,0.02,reverse,
-0.04,0.02,2.01,-0.06,0.04,0.02,reverse,
0.01,0.02,2.05,-0.06,0.04,0.02,reverse,
0.01,0.03,2.04,-0.06,0.04,0.02,reverse,
-0.01,0.03,2.04,-0.06,0.04,0.02,reverse,
-0.01,0.02,2.03,-0.06,0.04,0.02,reverse,
-0.01,0.02,2.02,-0.06,0.04,0.03,reverse,
0.01,0.03,2.02,-0.06,0.04,0.02,reverse,
-0.02,0.03,2.05,-0.06,0.04,0.02,reverse,
0,0.06,2.06,-0.06,0.04,0.03,reverse,
-0.02,0.02,1.98,-0.06,0.04,0.03,reverse,
0.02,0.02,2.02,-0.06,0.04,0.02,reverse,
-0.02,0.02,2.01,-0.06,0.04,0.02,reverse,
0.02,0.02,2.04,-0.06,0.04,0.02,reverse,
0,0.02,2.05,-0.06,0.04,0.02,reverse,
-0.01,0.05,2.08,-0.06,0.04,0.02,reverse,
0,0.02,2.05,-0.06,0.04,0.02,reverse,
0.02,0,2.05,-0.06,0.04,0.02,reverse,
-0.01,0.04,2.06,-0.06,0.04,0.02,reverse,
0,0,2.04,-0.06,0.04,0.02,reverse,
-0.01,0.01,2.05,-0.06,0.04,0.02,reverse,
-0.02,0.04,2.02,-0.06,0.04,0.03,reverse,
-0.02,0.04,2.06,-0.06,0.04,0.02,reverse,
0,0.03,2.02,-0.06,0.04,0.02,reverse,
-0.01,0.04,2.03,-0.06,0.04,0.03,reverse,
-0.02,0.02,2.05,-0.06,0.04,0.02,reverse,
-0.02,0.02,2.04,-0.06,0.04,0.02,reverse,
-0.02,0.04,2.01,-0.06,0.04,0.02,reverse,
-0.01,0.02,2.03,-0.06,0.04,0.02,reverse,
-0.03,0.02,2.08,-0.06,0.04,0.03,reverse,
-0.01,0.03,2.06,-0.06,0.04,0.02,reverse,
0,0.04,2.06,-0.06,0.04,0.03,reverse,
0.02,0.01,2.04,-0.06,0.04,0.02,reverse,
0.01,0.03,2.05,-0.06,0.04,0.03,reverse,
0,0.02,2,-0.06,0.04,0.03,reverse,
-0.02,0.04,2.02,-0.06,0.04,0.03,reverse,
-0.04,0.02,2.02,-0.06,0.04,0.02,reverse,
-0.01,0.02,2.04,-0.06,0.04,0.02,reverse,
-0.01,0.03,2.03,-0.06,0.04,0.02,reverse,
-0.02,0.05,2.04,-0.06,0.04,0.02,reverse,
-0.04,0.02,2.03,-0.06,0.04,0.02,reverse,
-0.03,0.02,2.06,-0.06,0.04,0.03,reverse,
-0.01,0.02,2.04,-0.06,0.04,0.02,reverse,
-0.02,0.02,2.02,-0.06,0.04,0.02,reverse,
-0.03,0,2.07,-0.06,0.04,0.02,reverse,
-0.01,-0.01,2.03,-0.06,0.04,0.02,reverse,
0.04,0.04,2.03,-0.06,0.04,0.03,reverse,
0.02,0.01,2.01,-0.06,0.04,0.02,reverse,
0.01,0.03,2,-0.06,0.04,0.02,reverse,
-0.03,0.03,1.99,-0.06,0.04,0.02,reverse,
-0.01,0.03,2.04,-0.06,0.04,0.03,reverse,
-0.01,0.05,2.03,-0.06,0.04,0.03,reverse,
0,0.03,2.04,-0.06,0.04,0.02,reverse,
-0.02,0.03,2.05,-0.06,0.04,0.02,reverse,
0.01,0.02,2.01,-0.06,0.04,0.03,reverse,
-0.05,0.05,2.03,-0.06,0.04,0.02,reverse,
-0.02,0.03,1.99,-0.06,0.04,0.03,reverse,
0,0.01,2.06,-0.06,0.04,0.03,reverse,
-0.03,0.04,2.06,-0.06,0.04,0.02,reverse,
-0.02,0.03,2.03,-0.06,0.04,0.03,reverse,
-0.01,0,2.03,-0.06,0.04,0.03,reverse,
-0.03,0.02,2.05,-0.06,0.04,0.03,reverse,
0,0.03,2.01,-0.06,0.04,0.02,reverse,
-0.02,0.04,2.04,-0.06,0.04,0.02,reverse,
-0.03,0.04,2.06,-0.06,0.04,0.02,reverse,
-0.02,0.01,2.06,-0.06,0.04,0.03,reverse,
0.01,0.03,2.01,-0.06,0.04,0.02,reverse,
-0.01,0,2.08,-0.06,0.04,0.02,reverse,
0,0.01,2.01,-0.06,0.04,0.02,reverse,
0,0.04,2.04,-0.06,0.04,0.02,reverse,
0,0.02,2.01,-0.06,0.04,0.03,reverse,
0,0.04,2.02,-0.06,0.04,0.02,reverse,
-0.03,0.03,2.05,-0.06,0.04,0.03,reverse,
0,0.04,2.02,-0.06,0.04,0.02,reverse,
0,0.03,2.04,-0.06,0.04,0.02,reverse,
0.01,0.03,2.02,-0.06,0.04,0.03,reverse,
-0.02,0.04,1.98,-0.06,0.04,0.02,reverse,
-0.01,0.01,2.04,-0.06,0.04,0.03,reverse,
-0.02,0.01,1.99,-0.06,0.04,0.02,reverse,
-0.02,0.03,2.04,-0.06,0.04,0.02,reverse,
-0.02,0.03,2.06,-0.06,0.04,0.02,reverse,
0,0.03,2.01,-0.06,0.04,0.02,reverse,
-0.02,0.05,2.04,-0.06,0.04,0.02,reverse,
0.01,0.02,2.03,-0.06,0.04,0.02,reverse,
-0.05,0,2.04,-0.06,0.04,0.03,reverse,
0.01,0.04,2.02,-0.06,0.04,0.03,reverse,
-0.04,0.04,2.04,-0.06,0.04,0.02,reverse,
-0.01,0.02,2.05,-0.06,0.04,0.02,reverse,
0.02,0.03,2.05,-0.06,0.04,0.02,reverse,
0,0.02,2.02,-0.06,0.04,0.02,reverse,
-0.01,0.01,2.05,-0.06,0.04,0.02,reverse,
-0.01,0.02,2.03,-0.06,0.04,0.02,reverse,
-0.01,0.03,2.02,-0.06,0.04,0.02,reverse,
-0.01,0.02,2.06,-0.06,0.04,0.02,reverse,
-0.03,0.02,2.06,-0.06,0.04,0.03,reverse,
-0.01,0.03,2.02,-0.06,0.04,0.02,reverse,
-0.02,0.02,2.02,-0.06,0.04,0.02,reverse,
-0.01,0.02,2.05,-0.06,0.04,0.03,reverse,
-0.01,0.02,2.07,-0.06,0.04,0.02,reverse,
-0.03,0.02,2.04,-0.06,0.04,0.03,reverse,
0.02,0.03,2.04,-0.06,0.04,0.03,reverse,
-0.03,0.05,2.06,-0.06,0.04,0.02,reverse,
-0.01,0.05,2.06,-0.06,0.04,0.02,reverse,
-0.02,0.01,2.04,-0.06,0.04,0.03,reverse,
-0.01,0.05,2.03,-0.06,0.04,0.03,reverse,
-0.02,0.04,2.04,-0.06,0.04,0.02,reverse,
0,0.03,2.06,-0.06,0.04,0.02,reverse,
0.01,0.02,2.04,-0.06,0.04,0.02,reverse,
-0.02,0.02,2.03,-0.06,0.04,0.03,reverse,
0.01,0.05,2.08,-0.06,0.04,0.03,reverse,
-0.02,0.03,2.01,-0.06,0.04,0.03,reverse,
0.02,0.01,2.04,-0.06,0.04,0.03,reverse,
-0.02,0.04,2.05,-0.06,0.04,0.02,reverse,
0,0.05,2.05,-0.06,0.04,0.02,reverse,
-0.01,0,2.01,-0.06,0.04,0.02,reverse,
-0.02,0.03,2.06,-0.06,0.04,0.03,reverse,
-0.01,0.04,2.03,-0.06,0.04,0.02,reverse,
0,0.03,2.06,-0.06,0.04,0.02,reverse,
-0.01,0.03,2.05,-0.06,0.04,0.03,reverse,
0.01,0.01,2.02,-0.06,0.04,0.02,reverse,
-0.04,0.03,2.03,-0.06,0.04,0.02,reverse,
-0.01,0.02,2.04,-0.06,0.04,0.02,reverse,
-0.01,0.03,2.01,-0.06,0.04,0.03,reverse,
-0.02,0.05,2.06,-0.06,0.04,0.02,reverse,
-0.01,0.06,2.09,-0.06,0.04,0.03,reverse,
-0.02,0.03,1.99,-0.06,0.04,0.02,reverse,
-0.01,0.04,2.04,-0.06,0.04,0.03,reverse,
-0.01,0.04,2.04,-0.06,0.04,0.02,reverse,
0.01,0.03,2.03,-0.06,0.04,0.03,reverse,
-0.01,0.01,2.04,-0.06,0.04,0.02,reverse,
-0.02,0.04,2.03,-0.06,0.04,0.02,reverse,
-0.01,0.02,2.03,-0.06,0.04,0.02,reverse,
-0.02,0.01,2.02,-0.06,0.04,0.02,reverse,
-0.02,0,2.05,-0.06,0.04,0.02,reverse,
-0.01,0.04,2.03,-0.06,0.04,0.03,reverse,
-0.01,0.04,2.06,-0.06,0.04,0.02,reverse,
-0.01,0.06,2.01,-0.06,0.04,0.02,reverse,
-0.02,0.03,2.09,-0.06,0.04,0.03,reverse,
-0.01,0.05,2.04,-0.06,0.04,0.03,reverse,
-0.03,0.02,2.06,-0.06,0.04,0.02,reverse,
-0.02,0.01,2.01,-0.06,0.04,0.03,reverse,
0,0.02,2.05,-0.06,0.04,0.03,reverse,
0,0.04,2.07,-0.06,0.04,0.02,reverse,
-0.04,0.02,2.02,-0.06,0.04,0.02,reverse,
0.02,0.02,2.01,-0.06,0.04,0.02,reverse,
-0.03,0.02,1.98,-0.06,0.04,0.02,reverse,
0,0.03,2.05,-0.06,0.04,0.02,reverse,
0,0.03,2.07,-0.06,0.04,0.02,reverse,
-0.02,0.03,2.04,-0.06,0.04,0.02,reverse,
0.02,0.03,2.01,-0.06,0.04,0.03,reverse,
0.03,0.03,2.05,-0.06,0.04,0.03,reverse,
0.02,0.04,2.03,-0.06,0.04,0.03,reverse,
-0.02,0.02,2.02,-0.06,0.04,0.02,reverse,
0,0.03,2.02,-0.06,0.04,0.02,reverse,
-0.03,0.03,2.05,-0.06,0.04,0.02,reverse,
-0.03,0.04,2.04,-0.06,0.04,0.02,reverse,
0.02,0.02,2.04,-0.06,0.04,0.03,reverse,
-0.01,0.01,2.06,-0.06,0.04,0.02,reverse,
-0.03,0.02,2.05,-0.06,0.04,0.02,reverse,
-0.01,0.04,2.04,-0.06,0.04,0.03,reverse,
0,0.04,2.04,-0.06,0.04,0.03,reverse,
0,0.04,2.04,-0.06,0.04,0.02,reverse,
-0.02,0.01,2.06,-0.06,0.04,0.02,reverse,
-0.03,0.04,2.05,-0.06,0.04,0.02,reverse,
0,0.03,2.07,-0.06,0.04,0.02,reverse,
0,0.02,2.07,-0.06,0.04,0.02,reverse,
-0.02,0.02,2.04,-0.06,0.04,0.03,reverse,
-0.01,0.03,2.04,-0.06,0.04,0.03,reverse,
-0.01,0.03,2.08,-0.06,0.04,0.03,reverse,
-0.02,0.02,2.06,-0.06,0.04,0.02,reverse,
-0.02,0.06,2.05,-0.06,0.04,0.02,reverse,
-0.02,0.01,2.04,-0.06,0.04,0.02,reverse,
0,0.03,2.02,-0.06,0.04,0.02,reverse,
-0.02,0.04,2.04,-0.06,0.04,0.03,reverse,
-0.02,0.02,2.04,-0.06,0.04,0.03,reverse,
-0.02,0.01,2.06,-0.06,0.04,0.02,reverse,
-0.03,0.01,2.02,-0.06,0.04,0.02,reverse,
-0.02,0.04,2.04,-0.06,0.04,0.03,reverse,
-0.02,0.01,2.03,-0.06,0.04,0.02,reverse,
0,0.02,2.06,-0.06,0.04,0.02,reverse,
-0.01,0.05,2.02,-0.06,0.04,0.02,reverse,
-0.03,0.04,2.03,-0.06,0.04,0.02,reverse,
-0.03,-0.01,2.02,-0.06,0.04,0.03,reverse,
-0.03,0.04,2.03,-0.06,0.04,0.02,reverse,
-0.02,0.01,2.05,-0.06,0.04,0.03,reverse,
0,0.04,2.03,-0.06,0.04,0.03,reverse,
-0.02,0.02,2.04,-0.06,0.04,0.03,reverse,
-0.02,-0.01,2.04,-0.06,0.04,0.02,reverse,
-0.01,0.03,2.05,-0.06,0.04,0.02,reverse,
-0.01,0.05,2.03,-0.06,0.04,0.02,reverse,
0,0.02,2.05,-0.06,0.04,0.02,reverse,
-0.04,0.01,2.02,-0.06,0.04,0.02,reverse,
-0.02,0.02,2.04,-0.06,0.04,0.03,reverse,
0,0.03,2.05,-0.07,0.04,0.02,reverse,
-0.04,0.05,2.03,-0.06,0.04,0.02,reverse,
-0.02,0.02,2.07,-0.06,0.04,0.03,reverse,
0,0.02,2.02,-0.06,0.04,0.02,reverse,
-0.01,0.03,2.03,-0.06,0.04,0.03,reverse,
-0.03,0.02,2.03,-0.06,0.04,0.02,reverse,
-0.03,0.02,2.06,-0.06,0.04,0.02,reverse,
-0.01,0,2.02,-0.07,0.04,0.02,reverse,
0.02,0.02,2.07,-0.06,0.04,0.02,reverse,
-0.01,0.04,2.05,-0.06,0.04,0.02,reverse,
0,0.02,2.06,-0.06,0.04,0.02,reverse,
0.01,0.02,2.05,-0.06,0.04,0.02,reverse,
-0.01,0.01,2.05,-0.06,0.04,0.02,reverse,
-0.01,0.03,2.03,-0.06,0.04,0.02,reverse,
0,0.03,2.07,-0.06,0.04,0.02,reverse,
-0.01,0.03,2.03,-0.06,0.04,0.03,reverse,
0,0.03,2.03,-0.06,0.04,0.02,reverse,
0,0.05,2.04,-0.06,0.04,0.03,reverse,
